id	creator	title	journal	issn	oclc	volume	issue	spage	epage	year	biostor	bhl
d1	International Commission on Zoological Nomenclature	Direction 1 Addition to the Official Lists and Official Indexes of certain scientific names and of the titles of certain books dealt with in Opinions 182 to 194	Opinions and declarations rendered by the International Commission on Zoological Nomenclature		5900905	3	30	401	415	1954	http://biostor.org/reference/146041	http://biodiversitylibrary.org/page/34653860
d2	International Commission on Zoological Nomenclature	Direction 2 Addition to the Official Lists and Official Indexes of certain scientific names dealt with in Opinions 161 to 181	Opinions and declarations rendered by the International Commission on Zoological Nomenclature		5900905	2	52	613	628	1954	http://biostor.org/reference/146040	http://biodiversitylibrary.org/page/34677044
d4	International Commission on Zoological Nomenclature	Direction 4 Addition to the Official Lists and Official Indexes of certain scientific names and of the titles of certain books dealt with in Opinions 134 ? 160, exclusive of Opinion 149	Opinions and declarations rendered by the International Commission on Zoological Nomenclature		5900905	2	53	629	652	1954	http://biostor.org/reference/146039	http://biodiversitylibrary.org/page/34677060
d5	International Commission on Zoological Nomenclature	Direction 5 Addition to the Official Lists and Official Indexes of certain scientific names dealt with in Opinion 149	Opinions and declarations rendered by the International Commission on Zoological Nomenclature		5900905	2	54	653	664	1954	http://biostor.org/reference/146038	http://biodiversitylibrary.org/page/34677084
d6	International Commission on Zoological Nomenclature	Direction 6 Addition to the Official List of Family-group Names in Zoology of the names Meropidae (class Aves) and Meropeidae and Tingidae (class Insecta)	Opinions and declarations rendered by the International Commission on Zoological Nomenclature		5900905	2	55	665	684	1954	http://biostor.org/reference/146037	http://biodiversitylibrary.org/page/34677096
d11	International Commission on Zoological Nomenclature	Direction 11 Determination of the gender to be attributed to the names of one hundred and seventy-four genera of the order Decapoda (class Crustacea) placed on the Official List of Generic Names in Zoology in the period up to the end of 1936	Opinions and declarations rendered by the International Commission on Zoological Nomenclature		5900905	1C	C.2	15	34	1955	http://biostor.org/reference/102331	http://biodiversitylibrary.org/page/34652478
d12	International Commission on Zoological Nomenclature	Direction 12 Validation under the Plenary Powers of the generic name Astacus Fabricius, 1775 (class Crustacea, order Decapoda) (correction of an erroneous entry made in the Official List of Generic Names in Zoology by the ruling given in Opinion 104)	Opinions and declarations rendered by the International Commission on Zoological Nomenclature		5900905	1C	C.3	35	56	1955	http://biostor.org/reference/146042	http://biodiversitylibrary.org/page/34652498
d13	International Commission on Zoological Nomenclature	Direction 13 Addition of the generic name Manatus Br?nnich, 1771 (class Mammalia) to the Official List of Rejected and invalid generic names in Zoology (Direction supplementary to Opinion 112)	Opinions and declarations rendered by the International Commission on Zoological Nomenclature		5900905	1C	C4	57	66	1955	http://biostor.org/reference/146043	http://biodiversitylibrary.org/page/34652558
d14	International Commission on Zoological Nomenclature	Direction 14 Addition to the Official List of family- group names in Zoology or, as the case may be, to the Official Index of Rejected and invalid family-group names in Zoology of the family-group names Involved in the applications relating to the names of ammonites published in volume 2 of the Bulletin of Zoological nomenclature	Opinions and declarations rendered by the International Commission on Zoological Nomenclature		5900905	10	18	463	480	1955	http://biostor.org/reference/146044	http://biodiversitylibrary.org/page/34609908
d15	International Commission on Zoological Nomenclature	Direction 15 Correction of an erroneous entry on the Official List of Generic Names in Zoology relating to the generic name Penaeus (emend. of Peneus) Weber, 1795 (class Crustacea, order Decapoda) (correction of an error in Opinion 104)	Opinions and declarations rendered by the International Commission on Zoological Nomenclature		5900905	1C	C.5	67	80	1955	http://biostor.org/reference/146045	http://biodiversitylibrary.org/page/34652568
d16	International Commission on Zoological Nomenclature	Direction 16 Validation, under Tlie Plenary Powers, of Brisson (M.j.), 1760, Ornithologia Sive Synopsis Methodica Sis Tens Avium Divisionem in Ordines (Direction in replacement of Opinion 37)	Opinions and declarations rendered by the International Commission on Zoological Nomenclature		5900905	1C	C.6	81	88	1955	http://biostor.org/reference/146046	http://biodiversitylibrary.org/page/34652582
d17	International Commission on Zoological Nomenclature	Direction 17 Addition to the Official List of Generic Names in Zoology of the names of fifteen genera of the class Aves, the type species of each of which was determined by Linnean tautonymy (Direction supplementary to Opinion 16)	Opinions and declarations rendered by the International Commission on Zoological Nomenclature		5900905	1C	C.8	89	112	1955	http://biostor.org/reference/146047	http://biodiversitylibrary.org/page/34652622
d18	International Commission on Zoological Nomenclature	Direction 18 Designation under the Plenary Powers of a lectotype for the nominal species Columba macroura Linnaeus, 1758, to secure that that name shall apply to the Mourning Dove and that the name Columba migratoria Linnaeus, 1766, shall be the oldest available name for the Passenger Pigeon (Direction supplementary to Opinion 61)	Opinions and declarations rendered by the International Commission on Zoological Nomenclature		5900905	1C	C.9	113	132	1955	http://biostor.org/reference/146048	http://biodiversitylibrary.org/page/34652646
d19	International Commission on Zoological Nomenclature	Direction 19 Correction of an erroneous entry on the Official List of Generic Names in Zoology relating to the date and place of publication of the name Balaeniceps Gould, 1850 (class Aves) (correction of an error in Opinion 67)	Opinions and declarations rendered by the International Commission on Zoological Nomenclature		5900905	1C	C.10	133	144	1955	http://biostor.org/reference/146049	http://biodiversitylibrary.org/page/34652666
d20	International Commission on Zoological Nomenclature	Direction 20 Addition of a Note to the entry on the Official List of Generic Names in Zoology relating to the generic name Oedicnemus Temminck, 1815 (class Aves) (Direction supplementary to Opinion 67)	Opinions and declarations rendered by the International Commission on Zoological Nomenclature		5900905	1C	C.11	145	160	1955	http://biostor.org/reference/146050	http://biodiversitylibrary.org/page/34652678
d21	International Commission on Zoological Nomenclature	Direction 21 Validation under the Plenary Powers of the generic names Bubo Dumeril, 1806, Coturnix Bonnaterre, 1790, Egretta Forster, 1817, and Oriolus Linnaeus, 1766 (class Aves), by the suppression of older Homonyms published by Brisson in 1760 (validation of four erroneous entries on the Official List of Generic Names in Zoology made by the ruling given in Opinion 67)	Opinions and declarations rendered by the International Commission on Zoological Nomenclature		5900905	1C	C.12	161	178	1955	http://biostor.org/reference/146051	http://biodiversitylibrary.org/page/34652694
d22	International Commission on Zoological Nomenclature	Direction 22 Addition to the Official List of Specific Names in Zoology of (a) the specific names of fifty-seven species, each of which is the type species of a genus in the class Mammalia, the name of which was placed on the Official List of Generic Names in Zoology in the period up to the end of 1936, and (B) of the specific names of two species belonging to the same class, each of which is currently regarded as the oldest available name for the type species of a genus, the name of which was placed on the Official List in the same period	Opinions and declarations rendered by the International Commission on Zoological Nomenclature		5900905	1C	C13	179	200	1955	http://biostor.org/reference/146052	http://biodiversitylibrary.org/page/34652712
